id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2805964187,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-04-25T23:15:43.217Z,2025-04-26T00:26:03Z,"[{'id': 5678726371, 'qualifierId': 130, 'value': '8'}, {'id': 5678726365, 'qualifierId': 30, 'value': 'lg9muzm3sbiijicsik53m3je, 89fa211ocgno2q0to22emh20a, 1enu619pvakj78wtsfuilbj3e, 6bcvcloym3tzxss5hgsw4h1at, etdam0sfwiphiwykieovlsyy1, id7fmb2fws190qkc6bfzdzx0, 18kiz7s5jlyotkb4p0sbbxyol, 9ijnmgmapjcnctich86692tw5, bngif4yqa0asu77nptsb06n10, as9gd28disfeeiiqxn7gjvg2c, dfeohozpw604y5jbu01u1dkkq, 9mo419gtk6dy5lhcvatcllkyy, 3bx0w0ftkij1lqrt727gjd94a, 9b94qn8vkpl0e7ujskes2m7d, 8mzg63nonnfqh4atjjv4jan10, cenm8mly98mwv2630hcke4fmc, bnxnrws4yintb6s76erzl9xw5, 6opd7nuh51c7p6pn6w04yuntg, e2cviaurp66ntp52needonka2'}, {'id': 5678726375, 'qualifierId': 194, 'value': 'etdam0sfwiphiwykieovlsyy1'}, {'id': 5678726367, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5678786037, 'qualifierId': 197, 'value': '28249'}, {'id': 5678726377, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5678726369, 'qualifierId': 59, 'value': '19, 20, 16, 14, 11, 3, 10, 4, 33, 17, 21, 7, 99, 29, 35, 9, 23, 6, 1'}, {'id': 5678726373, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Angel City,Away
2805964285,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-04-25T23:16:03.869Z,2025-04-26T00:04:37Z,"[{'id': 5678726901, 'qualifierId': 194, 'value': 'c811si1xw5he6ih0o1mj94tsl'}, {'id': 5678783341, 'qualifierId': 197, 'value': '24302'}, {'id': 5678726893, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5678726899, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5678726897, 'qualifierId': 130, 'value': '6'}, {'id': 5678726903, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5678726895, 'qualifierId': 59, 'value': '1, 12, 25, 16, 6, 3, 9, 30, 22, 10, 15, 40, 19, 21, 32, 34, 2, 14, 23, 11'}, {'id': 5678726891, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, dy302yj9tjby62ur1u8ab8rxm, dyfsbff9jueyw5jhjou424bo4, 6fhiz0epsutfcs1xqfhcuomad, 9yvkpwm78jaqr321imfc3rrbo, 1uf4321zvio3hrwfu4z4jxp7t, bp34vn963cxgnx6b7q7sig9hw, 6uui5rxnfn6y5rkcsbuloiui, e2obgph6szyo04em3qr94g1qt, c811si1xw5he6ih0o1mj94tsl, 23nuijdnnuiwzkd5cf7jbyajt, 93mr62mbyeymgcad2qhpvt2qc, 6zvfcc67po0ofvl1twrv13tg5, 2lh6bupkrijpm9n916446nbop, 6x5f13ghtvbdhcf7f9sct54dm, 642fsrjj1seobmhxeefruv578, 3cyj9a2fjtx4xd0bqdh6g3azu, 77agy8f4m7ybib2cssdfsltuy, e4glbrjataxggtxf953n1jsnp, eigt6t2rj0k98zt1isqrvtvqh'}]",,,,,Orlando Pride,Home
2805975095,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-04-26T00:10:34.331Z,2025-04-26T00:10:35Z,"[{'id': 5678787301, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Angel City,Away
2805975093,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-04-26T00:10:34.331Z,2025-04-26T00:10:34Z,"[{'id': 5678787297, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Orlando Pride,Home
2805975101,3,1,1,0,0,966pdxhsoxaib9qt5083h8uus,1,49.9,50.3,2025-04-26T00:10:34.332Z,2025-04-26T00:10:37Z,"[{'id': 5678787337, 'qualifierId': 141, 'value': '54.3'}, {'id': 5678787339, 'qualifierId': 212, 'value': '14.3'}, {'id': 5678787335, 'qualifierId': 140, 'value': '36.5'}, {'id': 5678787343, 'qualifierId': 279, 'value': 'S'}, {'id': 5678787341, 'qualifierId': 213, 'value': '2.95'}, {'id': 5678787333, 'qualifierId': 56, 'value': 'Back'}]",c811si1xw5he6ih0o1mj94tsl,Marta,,,Orlando Pride,Home
2805975111,4,1,1,0,3,966pdxhsoxaib9qt5083h8uus,1,36.8,54.3,2025-04-26T00:10:37.571Z,2025-04-26T00:10:40Z,"[{'id': 5678787403, 'qualifierId': 212, 'value': '20.0'}, {'id': 5678787401, 'qualifierId': 141, 'value': '46.4'}, {'id': 5678787397, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678787399, 'qualifierId': 140, 'value': '55.1'}, {'id': 5678787405, 'qualifierId': 213, 'value': '6.01'}]",6uui5rxnfn6y5rkcsbuloiui,A. Lemos,,,Orlando Pride,Home
2805975119,5,1,1,0,5,966pdxhsoxaib9qt5083h8uus,1,55.8,50.4,2025-04-26T00:10:40.146Z,2025-04-26T00:10:42Z,"[{'id': 5678787451, 'qualifierId': 141, 'value': '84.1'}, {'id': 5678787453, 'qualifierId': 212, 'value': '22.9'}, {'id': 5678787447, 'qualifierId': 56, 'value': 'Left'}, {'id': 5678787455, 'qualifierId': 213, 'value': '1.60'}, {'id': 5678787449, 'qualifierId': 140, 'value': '55.1'}]",c811si1xw5he6ih0o1mj94tsl,Marta,,,Orlando Pride,Home
2805975125,6,1,1,0,8,966pdxhsoxaib9qt5083h8uus,1,55.8,86.5,2025-04-26T00:10:42.563Z,2025-04-26T00:10:44Z,"[{'id': 5678787473, 'qualifierId': 140, 'value': '38.7'}, {'id': 5678787471, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787477, 'qualifierId': 212, 'value': '20.0'}, {'id': 5678787479, 'qualifierId': 213, 'value': '3.60'}, {'id': 5678787475, 'qualifierId': 141, 'value': '73.6'}]",dyfsbff9jueyw5jhjou424bo4,K. Abello,,,Orlando Pride,Home
2805975131,7,1,1,0,10,966pdxhsoxaib9qt5083h8uus,1,38.3,74.7,2025-04-26T00:10:44.691Z,2025-04-26T00:10:48Z,"[{'id': 5678787521, 'qualifierId': 213, 'value': '4.54'}, {'id': 5678787513, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787515, 'qualifierId': 140, 'value': '34.2'}, {'id': 5678787519, 'qualifierId': 212, 'value': '25.0'}, {'id': 5678787517, 'qualifierId': 141, 'value': '38.5'}]",1uf4321zvio3hrwfu4z4jxp7t,K. Nadaner,,,Orlando Pride,Home
2805975145,8,1,1,0,14,966pdxhsoxaib9qt5083h8uus,1,34.6,42.2,2025-04-26T00:10:48.819Z,2025-04-26T00:10:52Z,"[{'id': 5678787595, 'qualifierId': 141, 'value': '66.4'}, {'id': 5678787597, 'qualifierId': 212, 'value': '16.6'}, {'id': 5678787599, 'qualifierId': 213, 'value': '1.72'}, {'id': 5678787593, 'qualifierId': 140, 'value': '32.2'}, {'id': 5678787591, 'qualifierId': 56, 'value': 'Back'}]",9yvkpwm78jaqr321imfc3rrbo,E. Sams,,,Orlando Pride,Home
2805975163,9,1,1,0,17,966pdxhsoxaib9qt5083h8uus,1,32.0,69.3,2025-04-26T00:10:52.243Z,2025-04-26T00:10:58Z,"[{'id': 5678787693, 'qualifierId': 213, 'value': '6.03'}, {'id': 5678787685, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787687, 'qualifierId': 140, 'value': '42.6'}, {'id': 5678787689, 'qualifierId': 141, 'value': '65.1'}, {'id': 5678787691, 'qualifierId': 212, 'value': '11.5'}]",1uf4321zvio3hrwfu4z4jxp7t,K. Nadaner,,,Orlando Pride,Home
2805975173,10,1,1,0,19,966pdxhsoxaib9qt5083h8uus,1,41.9,64.8,2025-04-26T00:10:53.675Z,2025-04-26T00:11:53Z,"[{'id': 5678787731, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678787739, 'qualifierId': 213, 'value': '0.27'}, {'id': 5678787737, 'qualifierId': 212, 'value': '10.9'}, {'id': 5678787735, 'qualifierId': 141, 'value': '69.0'}, {'id': 5678787733, 'qualifierId': 140, 'value': '51.9'}]",6fhiz0epsutfcs1xqfhcuomad,M. Gautrat,,,Orlando Pride,Home
2805975181,11,1,1,0,21,966pdxhsoxaib9qt5083h8uus,1,52.7,68.1,2025-04-26T00:10:56.290Z,2025-04-26T00:12:02Z,"[{'id': 5678787781, 'qualifierId': 213, 'value': '1.59'}, {'id': 5678787773, 'qualifierId': 56, 'value': 'Left'}, {'id': 5678787775, 'qualifierId': 140, 'value': '52.5'}, {'id': 5678787777, 'qualifierId': 141, 'value': '88.1'}, {'id': 5678787779, 'qualifierId': 212, 'value': '13.6'}]",23nuijdnnuiwzkd5cf7jbyajt,Angelina,,,Orlando Pride,Home
2805975183,12,1,1,0,23,966pdxhsoxaib9qt5083h8uus,0,53.7,90.2,2025-04-26T00:10:57.907Z,2025-04-26T00:12:06Z,"[{'id': 5678787793, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678787801, 'qualifierId': 213, 'value': '5.46'}, {'id': 5678787795, 'qualifierId': 140, 'value': '70.8'}, {'id': 5678787797, 'qualifierId': 141, 'value': '61.5'}, {'id': 5678787799, 'qualifierId': 212, 'value': '26.5'}]",dyfsbff9jueyw5jhjou424bo4,K. Abello,,,Orlando Pride,Home
2805975169,3,49,1,0,25,6hbfgdczbi3yg4sdpqgtu6s,1,27.3,57.3,2025-04-26T00:10:59.772Z,2025-04-26T00:10:59Z,[],id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975179,4,1,1,0,25,6hbfgdczbi3yg4sdpqgtu6s,1,27.0,57.6,2025-04-26T00:11:00.268Z,2025-04-26T00:11:01Z,"[{'id': 5678787769, 'qualifierId': 213, 'value': '0.04'}, {'id': 5678787767, 'qualifierId': 212, 'value': '9.9'}, {'id': 5678787765, 'qualifierId': 141, 'value': '58.2'}, {'id': 5678787761, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787763, 'qualifierId': 140, 'value': '36.4'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975185,5,1,1,0,27,6hbfgdczbi3yg4sdpqgtu6s,1,36.2,59.1,2025-04-26T00:11:01.387Z,2025-04-26T00:11:03Z,"[{'id': 5678787811, 'qualifierId': 213, 'value': '3.07'}, {'id': 5678787803, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787805, 'qualifierId': 140, 'value': '24.3'}, {'id': 5678787809, 'qualifierId': 212, 'value': '12.5'}, {'id': 5678787807, 'qualifierId': 141, 'value': '60.5'}]",9ijnmgmapjcnctich86692tw5,K. Zelem,,,Angel City,Away
2805975195,6,1,1,0,28,6hbfgdczbi3yg4sdpqgtu6s,1,23.0,60.6,2025-04-26T00:11:03.067Z,2025-04-26T00:11:07Z,"[{'id': 5678787865, 'qualifierId': 213, 'value': '3.15'}, {'id': 5678787859, 'qualifierId': 140, 'value': '7.7'}, {'id': 5678787857, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787861, 'qualifierId': 141, 'value': '60.3'}, {'id': 5678787863, 'qualifierId': 212, 'value': '16.1'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975211,7,1,1,0,32,6hbfgdczbi3yg4sdpqgtu6s,1,7.7,59.9,2025-04-26T00:11:06.971Z,2025-04-26T00:11:09Z,"[{'id': 5678787935, 'qualifierId': 140, 'value': '34.7'}, {'id': 5678787943, 'qualifierId': 1}, {'id': 5678787937, 'qualifierId': 141, 'value': '87.4'}, {'id': 5678787939, 'qualifierId': 212, 'value': '34.0'}, {'id': 5678787931, 'qualifierId': 157}, {'id': 5678787941, 'qualifierId': 213, 'value': '0.58'}, {'id': 5678787933, 'qualifierId': 56, 'value': 'Back'}]",lg9muzm3sbiijicsik53m3je,A. Anderson,,,Angel City,Away
2805975213,8,61,1,0,35,6hbfgdczbi3yg4sdpqgtu6s,0,34.9,88.7,2025-04-26T00:11:09.595Z,2025-04-26T00:11:09Z,"[{'id': 5678787949, 'qualifierId': 56, 'value': 'Back'}]",dfeohozpw604y5jbu01u1dkkq,A. Thompson,,,Angel City,Away
2805975217,9,5,1,0,35,6hbfgdczbi3yg4sdpqgtu6s,0,48.2,101.6,2025-04-26T00:11:10.116Z,2025-04-26T01:33:41Z,"[{'id': 5678788147, 'qualifierId': 233, 'value': '13'}, {'id': 5678787965, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678787967, 'qualifierId': 347}]",dfeohozpw604y5jbu01u1dkkq,A. Thompson,,,Angel City,Away
2805975243,13,5,1,0,35,966pdxhsoxaib9qt5083h8uus,1,51.8,-1.6,2025-04-26T00:11:10.116Z,2025-04-26T00:11:20Z,"[{'id': 5678788127, 'qualifierId': 347}, {'id': 5678788125, 'qualifierId': 56, 'value': 'Right'}, {'id': 5678788143, 'qualifierId': 233, 'value': '9'}]",dyfsbff9jueyw5jhjou424bo4,K. Abello,,,Orlando Pride,Home
2805975251,14,1,1,0,44,966pdxhsoxaib9qt5083h8uus,1,52.0,0.0,2025-04-26T00:11:18.979Z,2025-04-26T00:11:21Z,"[{'id': 5678788185, 'qualifierId': 213, 'value': '0.59'}, {'id': 5678788177, 'qualifierId': 56, 'value': 'Right'}, {'id': 5678788181, 'qualifierId': 141, 'value': '13.8'}, {'id': 5678788179, 'qualifierId': 140, 'value': '66.8'}, {'id': 5678788175, 'qualifierId': 107}, {'id': 5678788183, 'qualifierId': 212, 'value': '18.7'}]",dy302yj9tjby62ur1u8ab8rxm,C. Dyke,,,Orlando Pride,Home
2805975255,15,1,1,0,47,966pdxhsoxaib9qt5083h8uus,0,66.8,13.8,2025-04-26T00:11:21.810Z,2025-04-26T00:11:22Z,"[{'id': 5678788211, 'qualifierId': 212, 'value': '13.1'}, {'id': 5678788213, 'qualifierId': 213, 'value': '3.66'}, {'id': 5678788205, 'qualifierId': 56, 'value': 'Right'}, {'id': 5678788207, 'qualifierId': 140, 'value': '55.9'}, {'id': 5678788209, 'qualifierId': 141, 'value': '4.3'}]",c811si1xw5he6ih0o1mj94tsl,Marta,,,Orlando Pride,Home
2805975257,10,8,1,0,48,6hbfgdczbi3yg4sdpqgtu6s,1,45.9,92.6,2025-04-26T00:11:23.099Z,2025-04-26T00:11:23Z,"[{'id': 5678788215, 'qualifierId': 56, 'value': 'Back'}]",dfeohozpw604y5jbu01u1dkkq,A. Thompson,,,Angel City,Away
2805975267,11,4,1,0,50,6hbfgdczbi3yg4sdpqgtu6s,1,46.0,95.2,2025-04-26T00:11:25.019Z,2025-04-26T02:10:23Z,"[{'id': 5678788313, 'qualifierId': 233, 'value': '16'}, {'id': 5678788285, 'qualifierId': 265}, {'id': 5678788287, 'qualifierId': 286}, {'id': 5678788283, 'qualifierId': 152}, {'id': 5678788281, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678788279, 'qualifierId': 13}]",dfeohozpw604y5jbu01u1dkkq,A. Thompson,,,Angel City,Away
2805975271,16,4,1,0,50,966pdxhsoxaib9qt5083h8uus,0,54.0,4.8,2025-04-26T00:11:25.020Z,2025-04-26T02:10:23Z,"[{'id': 5678788289, 'qualifierId': 13}, {'id': 5678788297, 'qualifierId': 285}, {'id': 5678788295, 'qualifierId': 265}, {'id': 5678788291, 'qualifierId': 56, 'value': 'Right'}, {'id': 5678788317, 'qualifierId': 233, 'value': '11'}, {'id': 5678788293, 'qualifierId': 152}]",dy302yj9tjby62ur1u8ab8rxm,C. Dyke,,,Orlando Pride,Home
2805975469,12,1,1,1,41,6hbfgdczbi3yg4sdpqgtu6s,0,58.3,91.8,2025-04-26T00:12:15.611Z,2025-04-26T00:12:17Z,"[{'id': 5678789353, 'qualifierId': 152}, {'id': 5678789363, 'qualifierId': 213, 'value': '5.60'}, {'id': 5678789351, 'qualifierId': 155}, {'id': 5678789349, 'qualifierId': 5}, {'id': 5678789355, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678789359, 'qualifierId': 141, 'value': '70.8'}, {'id': 5678789361, 'qualifierId': 212, 'value': '22.7'}, {'id': 5678789357, 'qualifierId': 140, 'value': '75.1'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975491,17,1,1,1,43,966pdxhsoxaib9qt5083h8uus,1,25.6,35.2,2025-04-26T00:12:18.098Z,2025-04-26T00:12:21Z,"[{'id': 5678789485, 'qualifierId': 212, 'value': '15.5'}, {'id': 5678789487, 'qualifierId': 213, 'value': '0.82'}, {'id': 5678789483, 'qualifierId': 141, 'value': '51.8'}, {'id': 5678789477, 'qualifierId': 3}, {'id': 5678789479, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678789481, 'qualifierId': 140, 'value': '35.7'}]",6uui5rxnfn6y5rkcsbuloiui,A. Lemos,,,Orlando Pride,Home
2805975507,18,1,1,1,47,966pdxhsoxaib9qt5083h8uus,0,33.7,50.0,2025-04-26T00:12:21.426Z,2025-04-26T00:12:23Z,"[{'id': 5678789563, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678789573, 'qualifierId': 1}, {'id': 5678789571, 'qualifierId': 213, 'value': '5.82'}, {'id': 5678789561, 'qualifierId': 157}, {'id': 5678789565, 'qualifierId': 140, 'value': '43.0'}, {'id': 5678789567, 'qualifierId': 141, 'value': '42.8'}, {'id': 5678789569, 'qualifierId': 212, 'value': '10.9'}]",6fhiz0epsutfcs1xqfhcuomad,M. Gautrat,,,Orlando Pride,Home
2805975511,13,1,1,1,48,6hbfgdczbi3yg4sdpqgtu6s,1,61.9,56.1,2025-04-26T00:12:23.019Z,2025-04-26T00:12:25Z,"[{'id': 5678789605, 'qualifierId': 213, 'value': '6.04'}, {'id': 5678789607, 'qualifierId': 1}, {'id': 5678789597, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678789603, 'qualifierId': 212, 'value': '11.2'}, {'id': 5678789599, 'qualifierId': 140, 'value': '72.2'}, {'id': 5678789595, 'qualifierId': 157}, {'id': 5678789601, 'qualifierId': 141, 'value': '52.1'}]",9ijnmgmapjcnctich86692tw5,K. Zelem,,,Angel City,Away
2805975521,14,1,1,1,50,6hbfgdczbi3yg4sdpqgtu6s,0,72.2,52.1,2025-04-26T00:12:25.210Z,2025-04-26T00:12:27Z,"[{'id': 5678789643, 'qualifierId': 3}, {'id': 5678789653, 'qualifierId': 141, 'value': '32.1'}, {'id': 5678789661, 'qualifierId': 213, 'value': '5.42'}, {'id': 5678789657, 'qualifierId': 212, 'value': '17.9'}, {'id': 5678789645, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678789649, 'qualifierId': 140, 'value': '83.3'}]",bngif4yqa0asu77nptsb06n10,R. Tiernan,,,Angel City,Away
2805975699,19,12,1,1,55,966pdxhsoxaib9qt5083h8uus,1,18.2,63.6,2025-04-26T00:12:29.954Z,2025-04-26T00:13:10Z,"[{'id': 5678790727, 'qualifierId': 140, 'value': '56.5'}, {'id': 5678790729, 'qualifierId': 141, 'value': '95.7'}, {'id': 5678790733, 'qualifierId': 213, 'value': '0.50'}, {'id': 5678790725, 'qualifierId': 56, 'value': 'Left'}, {'id': 5678790731, 'qualifierId': 212, 'value': '45.8'}]",dyfsbff9jueyw5jhjou424bo4,K. Abello,,,Orlando Pride,Home
2805975571,15,1,1,2,0,6hbfgdczbi3yg4sdpqgtu6s,1,39.7,4.9,2025-04-26T00:12:34.491Z,2025-04-26T00:12:39Z,"[{'id': 5678789973, 'qualifierId': 1}, {'id': 5678789963, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678789971, 'qualifierId': 213, 'value': '2.17'}, {'id': 5678789965, 'qualifierId': 140, 'value': '21.7'}, {'id': 5678789969, 'qualifierId': 212, 'value': '33.7'}, {'id': 5678789967, 'qualifierId': 141, 'value': '46.0'}]",etdam0sfwiphiwykieovlsyy1,S. Gorden,,,Angel City,Away
2805975587,16,1,1,2,4,6hbfgdczbi3yg4sdpqgtu6s,1,21.9,46.1,2025-04-26T00:12:38.874Z,2025-04-26T00:12:41Z,"[{'id': 5678790073, 'qualifierId': 141, 'value': '65.4'}, {'id': 5678790071, 'qualifierId': 140, 'value': '25.7'}, {'id': 5678790075, 'qualifierId': 212, 'value': '13.7'}, {'id': 5678790077, 'qualifierId': 213, 'value': '1.28'}, {'id': 5678790069, 'qualifierId': 56, 'value': 'Back'}]",lg9muzm3sbiijicsik53m3je,A. Anderson,,,Angel City,Away
2805975607,17,1,1,2,7,6hbfgdczbi3yg4sdpqgtu6s,1,25.9,64.6,2025-04-26T00:12:41.803Z,2025-04-26T00:12:45Z,"[{'id': 5678790171, 'qualifierId': 141, 'value': '34.9'}, {'id': 5678790167, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790169, 'qualifierId': 140, 'value': '21.8'}, {'id': 5678790175, 'qualifierId': 213, 'value': '4.50'}, {'id': 5678790173, 'qualifierId': 212, 'value': '20.6'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975621,18,1,1,2,10,6hbfgdczbi3yg4sdpqgtu6s,1,21.7,33.4,2025-04-26T00:12:45.099Z,2025-04-26T00:12:48Z,"[{'id': 5678790239, 'qualifierId': 212, 'value': '17.6'}, {'id': 5678790237, 'qualifierId': 141, 'value': '59.0'}, {'id': 5678790235, 'qualifierId': 140, 'value': '24.4'}, {'id': 5678790241, 'qualifierId': 213, 'value': '1.41'}, {'id': 5678790233, 'qualifierId': 56, 'value': 'Back'}]",etdam0sfwiphiwykieovlsyy1,S. Gorden,,,Angel City,Away
2805975629,19,1,1,2,13,6hbfgdczbi3yg4sdpqgtu6s,1,23.8,58.8,2025-04-26T00:12:48.099Z,2025-04-26T00:12:51Z,"[{'id': 5678790285, 'qualifierId': 213, 'value': '3.61'}, {'id': 5678790283, 'qualifierId': 212, 'value': '19.1'}, {'id': 5678790281, 'qualifierId': 141, 'value': '46.0'}, {'id': 5678790279, 'qualifierId': 140, 'value': '7.6'}, {'id': 5678790277, 'qualifierId': 56, 'value': 'Back'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975647,20,1,1,2,17,6hbfgdczbi3yg4sdpqgtu6s,1,8.5,44.9,2025-04-26T00:12:51.562Z,2025-04-26T00:12:54Z,"[{'id': 5678790357, 'qualifierId': 140, 'value': '12.7'}, {'id': 5678790361, 'qualifierId': 212, 'value': '13.1'}, {'id': 5678790359, 'qualifierId': 141, 'value': '63.0'}, {'id': 5678790355, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790363, 'qualifierId': 213, 'value': '1.23'}]",lg9muzm3sbiijicsik53m3je,A. Anderson,,,Angel City,Away
2805975653,21,1,1,2,19,6hbfgdczbi3yg4sdpqgtu6s,1,12.7,63.0,2025-04-26T00:12:54.170Z,2025-04-26T00:12:56Z,"[{'id': 5678790393, 'qualifierId': 212, 'value': '21.1'}, {'id': 5678790395, 'qualifierId': 213, 'value': '1.11'}, {'id': 5678790389, 'qualifierId': 140, 'value': '21.6'}, {'id': 5678790387, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790391, 'qualifierId': 141, 'value': '90.8'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975681,22,1,1,2,22,6hbfgdczbi3yg4sdpqgtu6s,1,21.6,90.8,2025-04-26T00:12:56.634Z,2025-04-26T00:13:03Z,"[{'id': 5678790581, 'qualifierId': 140, 'value': '12.3'}, {'id': 5678790579, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790583, 'qualifierId': 141, 'value': '67.0'}, {'id': 5678790587, 'qualifierId': 213, 'value': '4.17'}, {'id': 5678790585, 'qualifierId': 212, 'value': '18.9'}]",1enu619pvakj78wtsfuilbj3e,M. A. Vignola,,,Angel City,Away
2805975683,23,1,1,2,28,6hbfgdczbi3yg4sdpqgtu6s,1,22.2,62.1,2025-04-26T00:13:02.954Z,2025-04-26T00:13:06Z,"[{'id': 5678790623, 'qualifierId': 140, 'value': '35.0'}, {'id': 5678790621, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790625, 'qualifierId': 141, 'value': '92.0'}, {'id': 5678790627, 'qualifierId': 212, 'value': '24.4'}, {'id': 5678790629, 'qualifierId': 213, 'value': '0.99'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975695,24,1,1,2,31,6hbfgdczbi3yg4sdpqgtu6s,1,31.2,83.9,2025-04-26T00:13:06.171Z,2025-04-26T00:13:08Z,"[{'id': 5678790701, 'qualifierId': 140, 'value': '21.7'}, {'id': 5678790703, 'qualifierId': 141, 'value': '79.7'}, {'id': 5678790699, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790707, 'qualifierId': 213, 'value': '3.42'}, {'id': 5678790705, 'qualifierId': 212, 'value': '10.4'}]",1enu619pvakj78wtsfuilbj3e,M. A. Vignola,,,Angel City,Away
2805975697,25,1,1,2,34,6hbfgdczbi3yg4sdpqgtu6s,0,23.3,88.1,2025-04-26T00:13:08.843Z,2025-04-26T00:13:10Z,"[{'id': 5678790713, 'qualifierId': 56, 'value': 'Back'}, {'id': 5678790721, 'qualifierId': 213, 'value': '5.92'}, {'id': 5678790715, 'qualifierId': 140, 'value': '39.3'}, {'id': 5678790719, 'qualifierId': 212, 'value': '18.0'}, {'id': 5678790717, 'qualifierId': 141, 'value': '78.7'}]",id7fmb2fws190qkc6bfzdzx0,S. King,,,Angel City,Away
2805975701,20,49,1,2,36,966pdxhsoxaib9qt5083h8uus,1,60.6,20.4,2025-04-26T00:13:10.754Z,2025-04-26T00:13:11Z,[],6uui5rxnfn6y5rkcsbuloiui,A. Lemos,,,Orlando Pride,Home
2805975709,21,1,1,2,38,966pdxhsoxaib9qt5083h8uus,1,62.9,25.6,2025-04-26T00:13:12.804Z,2025-04-26T00:13:16Z,"[{'id': 5678790771, 'qualifierId': 56, 'value': 'Center'}, {'id': 5678790775, 'qualifierId': 141, 'value': '52.1'}, {'id': 5678790777, 'qualifierId': 212, 'value': '20.2'}, {'id': 5678790779, 'qualifierId': 213, 'value': '1.11'}, {'id': 5678790773, 'qualifierId': 140, 'value': '71.5'}]",6uui5rxnfn6y5rkcsbuloiui,A. Lemos,,,Orlando Pride,Home
2805975707,26,83,1,2,41,6hbfgdczbi3yg4sdpqgtu6s,0,28.7,52.4,2025-04-26T00:13:15.690Z,2025-04-26T00:13:17Z,"[{'id': 5678790813, 'qualifierId': 399, 'value': '23nuijdnnuiwzkd5cf7jbyajt'}]",89fa211ocgno2q0to22emh20a,G. Thompson,,,Angel City,Away
